Рейтинг,Год,Месяц,Источник,Текст отзыва,Автор,Дата_ISO
5.0,2017,12,Google Maps,"Уютно, комфортно, отличная кухня, конференцзалы",Сергей Небасуй,2017-12-26T06:10:17+00:00
5.0,2021,7,Google Maps,"Приятное и тихое место для отдыха.
Отличные впечатления.",Станислав Ввв,2021-07-12T15:50:51+00:00
5.0,2018,1,Google Maps,"Замечательный отель, прекрасный персонал",Кирилл Григорьев,2018-01-10T20:06:49+00:00
5.0,2021,1,Google Maps,"Великолепно , все очень понравилось .",Art Gyr,2021-01-23T19:51:55+00:00
5.0,2021,2,Google Maps,"Удобное расположение,трансфер,приятное обслуживание.",alexandr usachev,2021-02-25T20:29:33+00:00
5.0,2017,11,Google Maps,Супер просто лучше и быть не может,Влад Рожков,2017-11-04T20:11:17+00:00
5.0,2019,1,Google Maps,"Новый год 2019 простелько, гостеприимно, спасибо",Шилов Руслан,2019-01-10T20:06:39+00:00
5.0,2018,9,Google Maps,"Уютный отель, хороший персонал",Yiri Shcherbakov,2018-09-05T18:14:24+00:00
5.0,2018,3,Google Maps,Тихо мирно вкусно кормят,Ilia Kafyrin,2018-03-10T15:00:41+00:00
3.0,2017,7,Google Maps,Пока на 3,У У,2017-07-23T20:28:28+00:00
5.0,2021,8,Google Maps,"Превосходно
Отличный люкс",Алексей Пирожков,2021-08-16T12:00:18+00:00
1.0,2021,8,Google Maps,"За что такие деньги, непонятно!",юрик,2021-08-11T17:16:33+00:00
5.0,2019,1,Google Maps,Все четко молодци,Юрий Ильюхин,2019-01-18T07:37:22+00:00
5.0,2021,2,Google Maps,"Незабываемые эмоции 😃
Спасибо !!!",Наталья Пухликова,2021-02-07T07:16:12+00:00
4.0,2017,1,Google Maps,"Хорошее, тихое место",Irina Zolkina,2017-01-15T09:03:41+00:00
5.0,2019,8,Google Maps,😊👍,Алим Ташев,2019-08-05T20:55:34+00:00
3.0,2019,9,Google Maps,В целом неплохо!,Игорь Мигель,2019-09-26T07:28:01+00:00
5.0,2020,12,Google Maps,Всё просто отлично,Сергей Юрченко,2020-12-13T05:20:52+00:00
5.0,2020,9,Google Maps,Ахуенно,Константин Трегубов,2020-09-01T15:44:16+00:00
5.0,2018,12,Google Maps,Самое уютное место,Камилла Ахматова,2018-12-18T08:46:13+00:00
5.0,2020,2,Google Maps,Супер,Мурат Малкаров,2020-02-23T14:09:45+00:00
2.0,2021,12,Google Maps,Ленивый администратор ((,Елена Фомина,2021-12-05T10:29:42+00:00
5.0,2021,5,Google Maps,Хороший отель 👍👍👍,Кязим Эндреев,2021-05-09T18:25:35+00:00
5.0,2020,2,Google Maps,Лучший отель,Астик Молов,2020-02-22T05:45:56+00:00
5.0,2020,12,Google Maps,Классное место,Сергей Федоренко,2020-12-30T08:37:29+00:00
3.0,2018,8,Google Maps,4泊しました。1泊2食付きのプランのあるホテル。レストランやカフェの集積する地区から少し離れているので、夕食付きなのは助かった。しかも日本円で、一泊6千円強なので安さは魅力。||部屋はそこそこ広い。お風呂も浴槽があって、バルコニーもあったので洗濯が出来て満足したが、冷蔵庫がないのは少々不便であった。||フロントを仕切っている方のみが英語を使いましたが、他のスタッフも一生懸命に自分の片言のロシア語を解釈しようと努力してくれるたので、最低限必要なコミュニケーションは取れました。,norario,2018-08-14T23:59:59+00:00
4.0,2019,7,Google Maps,"מלון ליד הר האלברוז, החדר סטנדרטי ונקי. ארוחת בוקר פשוטה, יש אפשרות לאכול במרחק דקות ספורות ליד אתר הסקי, או במתחם קרוב נוסף בעיירה.",Rachel Regev,2019-07-03T19:15:25+00:00
3.0,2019,8,Google Maps,בית מלון בסיסי במקום פסטורלי,nili naveh,2019-08-02T20:14:40+00:00
5.0,2023,7,Google Maps,,Nikita Seleznev,2023-07-05T07:32:07+00:00
5.0,2023,7,Google Maps,,Nikita Seleznev,2023-07-05T07:32:07+00:00
5.0,2020,7,Google Maps,,Рустам Журтов,2020-07-12T08:01:46+00:00
5.0,2022,2,Google Maps,,MAGAS,2022-02-03T21:31:17+00:00
1.0,2021,12,Google Maps,,Роман Колесов,2021-12-13T05:45:10+00:00
5.0,2021,11,Google Maps,,Алексей Поликарпов,2021-11-06T06:44:48+00:00
5.0,2021,9,Google Maps,,Сергей Поляков,2021-09-29T16:13:05+00:00
5.0,2021,9,Google Maps,,Рита Берова,2021-09-28T19:24:28+00:00
3.0,2021,9,Google Maps,,Александр Малюшенко,2021-09-06T04:02:31+00:00
5.0,2021,9,Google Maps,,Ациона Тенс (_Lia_),2021-09-03T17:36:13+00:00
4.0,2021,8,Google Maps,,Алексей Ковалёв,2021-08-18T12:09:35+00:00
5.0,2021,8,Google Maps,,Сергей Кошкин,2021-08-02T15:29:33+00:00
4.0,2021,7,Google Maps,,Онега Бутримова,2021-07-31T16:05:04+00:00
1.0,2021,7,Google Maps,,Вася Забулдыгин,2021-07-26T20:05:58+00:00
5.0,2021,7,Google Maps,,Евгений Щёлоков,2021-07-06T12:23:18+00:00
5.0,2021,6,Google Maps,,Сергей Грабко,2021-06-25T17:46:29+00:00
5.0,2021,6,Google Maps,,Вадим Андрющенко,2021-06-24T14:30:23+00:00
4.0,2021,5,Google Maps,,Kirill Shishaev,2021-05-20T05:50:28+00:00
5.0,2021,5,Google Maps,,Евгений Павленко,2021-05-13T04:41:22+00:00
4.0,2021,5,Google Maps,,Dmitriy Raudin,2021-05-08T21:44:39+00:00
5.0,2021,5,Google Maps,,Джамиля Эльмурзаева,2021-05-08T11:09:14+00:00
5.0,2021,3,Google Maps,,Геннадий Расторгуев,2021-03-22T12:58:07+00:00
4.0,2021,3,Google Maps,,Леонид Резепа,2021-03-05T07:46:21+00:00
4.0,2021,2,Google Maps,,Александр Лев,2021-02-25T13:32:41+00:00
5.0,2021,2,Google Maps,,Lida Belyaeva,2021-02-12T13:27:32+00:00
5.0,2021,1,Google Maps,,Гена Агарков,2021-01-19T10:52:31+00:00
5.0,2020,12,Google Maps,,ирина милохина,2020-12-29T12:29:33+00:00
5.0,2020,12,Google Maps,,Alena Lepshina,2020-12-24T07:42:35+00:00
5.0,2020,10,Google Maps,,Алина Агаурова,2020-10-20T04:09:10+00:00
5.0,2020,9,Google Maps,,Инал Текуев,2020-09-20T14:37:25+00:00
4.0,2020,9,Google Maps,,Bodo Bushman,2020-09-09T16:56:47+00:00
5.0,2020,8,Google Maps,,Сергей Сатин,2020-08-16T16:53:33+00:00
5.0,2020,8,Google Maps,,Стас Рыбаков,2020-08-08T14:49:13+00:00
5.0,2020,7,Google Maps,,Аслан Байказиев (Аханя),2020-07-21T09:33:57+00:00
5.0,2020,6,Google Maps,,Люся Онофрийчук,2020-06-01T08:13:11+00:00
4.0,2020,2,Google Maps,,lexmod,2020-02-16T16:33:54+00:00
5.0,2019,12,Google Maps,,Ирада Гетигежева,2019-12-29T00:49:53+00:00
4.0,2019,12,Google Maps,,Сергей Беликьян,2019-12-23T12:59:10+00:00
4.0,2019,12,Google Maps,,Наталья Панова,2019-12-21T15:49:56+00:00
3.0,2019,12,Google Maps,,Лиана Канукова,2019-12-17T12:38:10+00:00
4.0,2019,12,Google Maps,,Vitaliy Lazarev,2019-12-07T05:39:15+00:00
5.0,2019,11,Google Maps,,Федор Абрамов,2019-11-13T19:25:35+00:00
5.0,2019,10,Google Maps,,Александр Ногамов,2019-10-17T11:02:32+00:00
5.0,2019,10,Google Maps,,Natasha Magomedova,2019-10-17T08:35:34+00:00
5.0,2019,9,Google Maps,,Наталья Савина,2019-09-29T18:42:54+00:00
4.0,2019,8,Google Maps,,Mad Ana,2019-08-29T16:41:39+00:00
4.0,2019,8,Google Maps,,מנוחה סהר,2019-08-23T15:33:37+00:00
5.0,2019,8,Google Maps,,Татьяна Бителева,2019-08-10T15:03:53+00:00
5.0,2019,8,Google Maps,,Bita Mi,2019-08-09T09:28:52+00:00
5.0,2019,8,Google Maps,,Анна Колесникова,2019-08-02T05:23:34+00:00
5.0,2019,7,Google Maps,,Светлана,2019-07-27T18:17:00+00:00
5.0,2019,7,Google Maps,,Юлия М,2019-07-25T11:31:17+00:00
4.0,2019,7,Google Maps,,Николай Полывян,2019-07-24T05:48:21+00:00
5.0,2019,7,Google Maps,,Alim Lokiaev,2019-07-21T12:20:03+00:00
4.0,2019,7,Google Maps,,Анна Сименских,2019-07-17T15:27:51+00:00
4.0,2019,7,Google Maps,,נמרוד ביר,2019-07-06T05:04:59+00:00
4.0,2019,6,Google Maps,,Zvi Preker,2019-06-28T07:06:36+00:00
5.0,2019,5,Google Maps,,аслан коков,2019-05-02T16:55:12+00:00
4.0,2019,5,Google Maps,,Анзор Агзагов,2019-05-02T07:20:51+00:00
3.0,2019,3,Google Maps,,Ruslan Tyurin,2019-03-22T19:12:06+00:00
5.0,2019,3,Google Maps,,Мария Поротникова,2019-03-13T14:26:39+00:00
4.0,2019,2,Google Maps,,PopRocks,2019-02-18T11:51:17+00:00
5.0,2019,1,Google Maps,,Анисия Антоньевна,2019-01-07T15:14:03+00:00
5.0,2019,1,Google Maps,,Альберт Шомахов,2019-01-04T12:46:45+00:00
4.0,2018,12,Google Maps,,Владимир Покусаев,2018-12-30T11:23:35+00:00
5.0,2018,12,Google Maps,,Александр Пирогов,2018-12-29T18:14:58+00:00
5.0,2018,12,Google Maps,,Anatolii K,2018-12-25T14:52:26+00:00
2.0,2018,12,Google Maps,,Дмитрий Водяницкий,2018-12-18T19:30:49+00:00
4.0,2018,12,Google Maps,,Живи Со Мной,2018-12-15T04:24:52+00:00
5.0,2018,11,Google Maps,,Hassan A.,2018-11-12T07:50:35+00:00
5.0,2018,10,Google Maps,,Людмила,2018-10-28T16:40:23+00:00
4.0,2018,10,Google Maps,,Oleg Skripnikov,2018-10-14T17:38:46+00:00
5.0,2018,9,Google Maps,,Дмитрий Кочергин,2018-09-09T17:01:14+00:00
5.0,2018,9,Google Maps,,Сергей Сальников,2018-09-01T16:43:51+00:00
5.0,2018,8,Google Maps,,Роман Чижов,2018-08-15T20:00:45+00:00
5.0,2018,8,Google Maps,,Дарья Семенова,2018-08-10T07:17:49+00:00
5.0,2018,8,Google Maps,,Alona Shevchuk,2018-08-02T04:13:56+00:00
5.0,2018,7,Google Maps,,Marina Salmina,2018-07-29T05:21:05+00:00
3.0,2018,7,Google Maps,,Аня Лигута,2018-07-13T19:18:46+00:00
4.0,2018,6,Google Maps,,Виталий Ковалев,2018-06-12T05:45:40+00:00
5.0,2018,5,Google Maps,,Anton,2018-05-06T13:00:36+00:00
5.0,2018,4,Google Maps,,Юлия Лобанова,2018-04-08T15:38:26+00:00
5.0,2018,4,Google Maps,,Константин Секрет,2018-04-08T04:42:55+00:00
1.0,2018,3,Google Maps,,Евгений Скобелкин,2018-03-25T20:51:57+00:00
5.0,2018,3,Google Maps,,Dr Filter,2018-03-10T14:48:30+00:00
4.0,2018,2,Google Maps,,S G,2018-02-17T06:54:18+00:00
4.0,2018,2,Google Maps,,Екатерина Артеменко,2018-02-02T17:43:29+00:00
5.0,2018,1,Google Maps,,Munira Guapla,2018-01-16T20:00:21+00:00
5.0,2017,11,Google Maps,,Селим Эминов,2017-11-17T06:39:26+00:00
5.0,2017,8,Google Maps,,Магамед Кудаев,2017-08-01T17:06:52+00:00
3.0,2017,7,Google Maps,,Алексей Аликин,2017-07-17T17:09:15+00:00
4.0,2017,7,Google Maps,,Александр Чернышев,2017-07-13T04:54:12+00:00
5.0,2017,6,Google Maps,,Заурби Дауров,2017-06-03T20:54:59+00:00
5.0,2017,2,Google Maps,,Анна Демидова,2017-02-23T13:16:57+00:00
